bundle,sigma,x,y,z,vx,vy,vz,mass,lam0,lam1,lam2,lam3,lam4,lam5,lam6,time
32,11,-233.15005876156894,41.46584994763712,1.3849045238758124,-0.10061477148415275,-0.33500961307190774,-0.002323698900563198,1.0810402612559793,0.005484760454703348,0.574641895070262,-1.0417631132444227,0.04348318787392925,1.7361238200145603,-0.06753419809935232,-1.08480553035082,18933.07451860037
32,11,-233.15993230029912,41.432383267781354,1.38467160148334,-0.10056572106768169,-0.3350178000235195,-0.002323918272870719,1.0810384002662308,0.005461463335378548,0.5796999680653383,-1.0421291779073143,0.04348349668213108,1.7361299723188015,-0.0668543076065972,-1.0831121743228094,18932.979224285296
32,11,-233.16980092659338,41.3989157932909,1.3844386573037604,-0.10051667100215753,-0.3350259795232381,-0.002324137643203501,1.081036539276482,0.005438423359757381,0.5847184999939061,-1.0423524397533028,0.04348363271284394,1.7361352493780509,-0.06620983542314689,-1.0814318517973365,18932.883929970227
32,11,-233.17966464049528,41.365447524914046,1.3842056913373413,-0.10046762128872083,-0.3350341515716013,-0.002324357011567071,1.0810346782867335,0.005415633979432983,0.5896945235276418,-1.0424388270191216,0.04348362750944423,1.7361396044192903,-0.06559882099805564,-1.079764620571057,18932.788635655153
32,11,-233.18952344204905,41.331978463398855,1.3839727035843512,-0.1004185719285118,-0.3350423161691473,-0.0023245763779669673,1.0810328172969847,0.00539308836246717,0.5946251680077602,-1.0423944895823554,0.04348351357537924,1.7361429900832996,-0.06501922626035192,-1.0781105355268827,18932.69334134008
32,11,-233.1993773312987,41.29850860949331,1.383739694045056,-0.10036952292267011,-0.3350504733164143,-0.0023247957424087254,1.081030956307236,0.0053707793933904634,0.5995076594450125,-1.042225798961439,0.043483324374167194,1.7361453584246551,-0.06446893561903873,-1.0764696486339838,18932.598047025007
32,11,-233.2092263082884,41.26503796394569,1.3835066627197232,-0.10032047427233591,-0.33505862301394035,-0.002325015104897882,1.0810290953174875,0.005348699673202093,0.604339320519683,-1.0419393483156578,0.04348309432939722,1.73614666091173,-0.06394575596309393,-1.0748420089477877,18932.502752709934
32,11,-233.2190703730625,41.23156652750373,1.383273609608618,-0.10027142597864838,-0.33506676526226437,-0.0023252344654399824,1.0810272343277387,0.005326841519369978,0.609117570581595,-1.0415419524451484,0.04348285882472934,1.7361468484266946,-0.06344741666146962,-1.0732276626099793,18932.407458394864
32,11,-233.2289095256655,41.19809430091538,1.3830405347120052,-0.1002223780427467,-0.3350749000619247,-0.0023254538240405687,1.08102537333799,0.005305196965830741,0.613839925650107,-1.0410406477908971,0.043482654203894515,1.7361458712655162,-0.06297156956309254,-1.0716266528485001,18932.31216407979
32,11,-233.23874376614177,41.1646212849286,1.3828074380301507,-0.10017333046577018,-0.3350830274134603,-0.0023256731807051872,1.0810235123482415,0.0052837577629896975,0.6185039984141145,-1.0404426924347416,0.0434825177706946,1.736143679137959,-0.06251578899686384,-1.0700390199775498,18932.216869764718
